#name s alpha_x beta_x psi_x alpha_y beta_y psi_y D_x Dprime_x D_y Dprime_y
         INITIAL 0 -0.06337238109609854 9.06531954296063 178.6924623703555 0.005306059145251649 46.91343916206119 184.677713426693 -0.02123152914540849 0.004026916107501576 -0.06913721320173102 0.0007036571299705503
          mrk605 1e-06 -0.06499294938978792 9.065319669652867 1.103105068116912e-07 0.004503435524095948 46.91343914881391 2.131585358156987e-08 -0.02123390972094179 0.004027789173341664 -0.069155820024468 0.0007037179330698957
       dqbpt605h 0.024501 -0.06770697282653304 9.068570817747169 0.002702236500714762 0.003981186519815867 46.91323127557383 0.0005222609094128275 -0.02113527820199678 0.004027789173341664 -0.06913858755134425 0.0007037179330698957
       bpquadend 0.046731 -0.0701695336836287 9.071635812486891 0.005153148226945427 0.003507325484503777 46.91306480595197 0.0009961152926793806 -0.02104578519521526 0.004027789173341664 -0.06912295171960788 0.0007037179330698957
          qt605c 0.199131 -0.08705186722485142 9.095596353985343 0.02193140941138461 0.0002587235150227815 46.91249086008444 0.00424470288644752 -0.02043225688961455 0.004027789173341664 -0.06901575870311552 0.0007037179330698957
       mrkqt605c 0.199131 -0.08705186722485142 9.095596353985343 0.02193140941138461 0.0002587235150227815 46.91249086008444 0.00424470288644752 -0.02043225688961455 0.004027789173341664 -0.06901575870311552 0.0007037179330698957
          qt605c 0.351531 -0.1039342007660742 9.124702630747162 0.03866080595863736 -0.002989878454458225 46.91290708809723 0.007493295940990431 -0.01981872858401383 0.004027789173341664 -0.06890856568662318 0.0007037179330698957
       bpquadend 0.373761 -0.1063967616231699 9.129378288041075 0.04109642819644504 -0.003463739489770315 46.91305055202414 0.00796715203350612 -0.01972923557723231 0.004027789173341664 -0.06889292985488682 0.0007037179330698957
        dqbpt605 0.422761 -0.1118248084966601 9.140071144976945 0.04646060116331411 -0.004508237498330477 46.91344117889655 0.009011633352285539 -0.01953197253934231 0.004027789173341664 -0.06885846490863932 0.0007037179330698957
       bpquadend 0.444991 -0.1142873693537558 9.14509761869056 0.04889208243992586 -0.004982098533642567 46.91365214906654 0.009485483709223542 -0.01944247953256078 0.004027789173341664 -0.06884282907690294 0.0007037179330698957
          qt605d 0.597391 -0.1311697028949784 9.182505276501264 0.06552353657278702 -0.008230700503123542 46.91566577963974 0.01273394104500184 -0.01882895122696007 0.004027789173341664 -0.0687356360604106 0.0007037179330698957
       mrkqt605d 0.597391 -0.1311697028949784 9.182505276501264 0.06552353657278702 -0.008230700503123542 46.91566577963974 0.01273394104500184 -0.01882895122696007 0.004027789173341664 -0.0687356360604106 0.0007037179330698957
          qt605d 0.749791 -0.1480520364362008 9.225058669575338 0.08208274807749075 -0.01147930247260449 46.91866958409324 0.01598222468215585 -0.01821542292135936 0.004027789173341664 -0.06862844304391826 0.0007037179330698957
       bpquadend 0.772021 -0.1505145972932965 9.231695805843145 0.08449162478069669 -0.01195316350791658 46.91919048781199 0.01645602067057708 -0.01812592991457783 0.004027789173341664 -0.06861280721218188 0.0007037179330698957
       dqqbp605b 1.043501 -0.1805881925017685 9.321583591216708 0.1137610544630787 -0.01774010880105766 46.92725161737842 0.02224167454290192 -0.01703301216914154 0.004027789173341664 -0.06842185734264575 0.0007037179330698957
           dweld 1.119701 -0.1890293592723799 9.349748448661899 0.1219234001020916 -0.01936440978579816 46.93007898169473 0.02386541630142495 -0.01672624801634117 0.004027789173341664 -0.06836826083439963 0.0007037179330698957
          qbpend 1.170501 -0.1946568037861208 9.369239705745269 0.1273510734940453 -0.02044727710895849 46.932101415389 0.02494785461080678 -0.01652173858114092 0.004027789173341664 -0.06833252982890223 0.0007037179330698957
        qmp605b1 1.170501 -0.1946568037861208 9.369239705745269 0.1273510734940453 -0.02044727710895849 46.932101415389 0.02494785461080678 -0.01652173858114092 0.004027789173341664 -0.06833252982890223 0.0007037179330698957
          q605b1 1.678501 -0.5308162301971108 9.735985689830228 0.1806956110961869 1.313282673067299 46.27210565296784 0.03582247761513167 -0.01459307374727647 0.003578474974779613 -0.06747507105984375 0.002669655703293149
        qmp605b1 1.678501 -0.5308162301971108 9.735985689830228 0.1806956110961869 1.313282673067299 46.27210565296784 0.03582247761513167 -0.01459307374727647 0.003578474974779613 -0.06747507105984375 0.002669655703293149
          qbpend 1.729301 -0.5375041720535004 9.790256366264556 0.1858989088222442 1.310291338739215 46.13882809316807 0.03692191598259466 -0.01441137806652041 0.003578474974779613 -0.06733952032547984 0.002669655703293149
           dweld 1.805501 -0.5475360848380849 9.872936433839696 0.1936495765135413 1.30580433724709 45.93948160265791 0.03857703353678976 -0.01413883454538632 0.003578474974779613 -0.06713619422393392 0.002669655703293149
           dweld 1.881701 -0.5575679976226693 9.957145364923207 0.2013350150294786 1.301317335754964 45.74081893117518 0.04023933642079654 -0.01386629102425222 0.003578474974779613 -0.06693286812238802 0.002669655703293149
          qbpend 1.932501 -0.5642559394790589 10.01413402092797 0.2064223632129427 1.29832600142688 45.60875704964634 0.04135154877676037 -0.01368459534349616 0.003578474974779613 -0.06679731738802408 0.002669655703293149
        qmp605b2 1.932501 -0.5642559394790589 10.01413402092797 0.2064223632129427 1.29832600142688 45.60875704964634 0.04135154877676037 -0.01368459534349616 0.003578474974779613 -0.06679731738802408 0.002669655703293149
          q605b2 2.440501 -0.9408673853646161 10.77501403862929 0.2554662174560942 2.536709953487484 43.65096142702572 0.05270920171983014 -0.01196377333702604 0.003208099087679009 -0.06495535770374486 0.004576894757630398
        qmp605b2 2.440501 -0.9408673853646161 10.77501403862929 0.2554662174560942 2.536709953487484 43.65096142702572 0.05270920171983014 -0.01196377333702604 0.003208099087679009 -0.06495535770374486 0.004576894757630398
          qbpend 2.491301 -0.9497555182847472 10.87105768213468 0.2601599731865863 2.528057388344148 43.39367124606068 0.05387642437093158 -0.01180088334852557 0.003208099087679009 -0.06472296764507889 0.004576894757630398
           dweld 2.567501 -0.9630877176649438 11.01681633671405 0.2671229432175155 2.515078540629142 43.00938428827291 0.05564026924230665 -0.01155654836577487 0.003208099087679009 -0.06437438255707992 0.004576894757630398
             cs2 2.729401000000001 -0.9914142672667006 11.33325020807448 0.2816125550898229 2.487502747386894 42.19946637774312 0.05944052479112492 -0.01103741668982553 0.003208099087679009 -0.06363375361026848 0.004576894757630398
          dvp605 2.809601000000001 -1.005446319632735 11.49339842714381 0.2886396605776795 2.473842595329894 41.80156648125723 0.06135004770474934 -0.01078025572372833 0.003208099087679009 -0.06326687009245328 0.004576894757630398
         pumpend 2.936601 -1.027666651933062 11.75160377453267 0.2995676323333314 2.452211182471552 41.17595765147645 0.06441120937302627 -0.01037303075247716 0.003208099087679009 -0.06268589494578834 0.004576894757630398
            mtsp 2.936601 -1.027666651933062 11.75160377453267 0.2995676323333314 2.452211182471552 41.17595765147645 0.06441120937302627 -0.01037303075247716 0.003208099087679009 -0.06268589494578834 0.004576894757630398
         pumpend 3.063601 -1.04988698423339 12.01545308632581 0.3102555559969778 2.43057976961321 40.5558432005617 0.06751902930804285 -0.009965805781225984 0.003208099087679009 -0.06210491979912341 0.004576894757630398
         bpm8end 3.165201 -1.067663250073653 12.23059619013141 0.318636730875038 2.413274639326537 40.06370759261341 0.07003955936911289 -0.009640025804225042 0.003208099087679009 -0.06164013968179144 0.004576894757630398
           vp605 3.165201 -1.067663250073653 12.23059619013141 0.318636730875038 2.413274639326537 40.06370759261341 0.07003955936911289 -0.009640025804225042 0.003208099087679009 -0.06164013968179144 0.004576894757630398
         bpm8end 3.266801 -1.085439515913915 12.44935143115574 0.3268705521905158 2.395969509039863 39.57508838713938 0.0725911304055203 -0.009314245827224104 0.003208099087679009 -0.06117535956445948 0.004576894757630398
  dempty60_vp605 7.347821999999999 -1.799468198942394 24.22272039854635 0.5640981088034051 1.700865177271645 22.85581999877372 0.2087046706283421 0.003771531018448689 0.003208099087679009 -0.04250629047770583 0.004576894757630398
          mtspip 7.347821999999999 -1.799468198942394 24.22272039854635 0.5640981088034051 1.700865177271645 22.85581999877372 0.2087046706283421 0.003771531018448689 0.003208099087679009 -0.04250629047770583 0.004576894757630398
  dempty60_hp606 11.344843 -2.498799969268293 41.40298853051599 0.6906500991828477 1.020068236685323 11.98019200358603 0.4526669850664028 0.01658796221384511 0.003208099087679009 -0.02422148841709277 0.004576894757630398
         bpm8end 11.446443 -2.516576235108555 41.91255075288069 0.6930890679967836 1.002763106398649 11.7746723391287 0.4612214470437192 0.01691374219084605 0.003208099087679009 -0.02375670829976082 0.004576894757630398
           hp606 11.446443 -2.516576235108555 41.91255075288069 0.6930890679967836 1.002763106398649 11.7746723391287 0.4612214470437192 0.01691374219084605 0.003208099087679009 -0.02375670829976082 0.004576894757630398
         bpm8end 11.548043 -2.534352500948818 42.42572511246411 0.6954984598919639 0.9854579761119758 11.57266907714562 0.4699252291213856 0.01723952216784699 0.003208099087679009 -0.02329192818242886 0.004576894757630398
         pumpend 11.675043 -2.556572833249145 43.07227262990726 0.6984693790162612 0.9638265632536337 11.32510994064618 0.4810188839353051 0.01764674713909817 0.003208099087679009 -0.02271095303576392 0.004576894757630398
            mtsp 11.675043 -2.556572833249145 43.07227262990726 0.6984693790162612 0.9638265632536337 11.32510994064618 0.4810188839353051 0.01764674713909817 0.003208099087679009 -0.02271095303576392 0.004576894757630398
