-2000,0.4375,0.3896
-1900,0.4360,0.3882
-1800,0.4346,0.3867
-1700,0.4331,0.3848
-1600,0.4321,0.3833
-1500,0.4307,0.3818
-1400,0.4292,0.3799
-1300,0.4282,0.3784
-1200,0.4268,0.3770
-1100,0.4253,0.3750
-1000,0.4243,0.3735
-900,0.4229,0.3716
-800,0.4219,0.3701
-700,0.4204,0.3682
-600,0.4189,0.3667
-500,0.4180,0.3647
-400,0.4170,0.3628
-300,0.4155,0.3613
-200,0.4146,0.3599
-100,0.4136,0.3574
0,0.4126,0.3560
100,0.4116,0.3540
200,0.4106,0.3521
300,0.4097,0.3501
400,0.4087,0.3486
500,0.4077,0.3467
600,0.4072,0.3452
700,0.4062,0.3438
800,0.4053,0.3418
900,0.4043,0.3394
1000,0.4038,0.3350
1100,0.4033,0.3345
1200,0.4028,0.3325
1300,0.4023,0.3311
1400,0.4023,0.3286
1500,0.4019,0.3267
1600,0.4014,0.3247
1700,0.4009,0.3228
1800,0.4009,0.3208
1900,0.4009,0.3188
2000,0.4004,0.3159
